resolution,aspect_ratio,orientation,scale,raw_width_after_scale,raw_height_after_scale,output_width,output_height,width_delta,height_delta,rounded_axes
1K,21:9,Landscape,1.2,2133.333333,906.666667,2128,912,-5.333333,5.333333,width+height
1K,21:9,Landscape,1.3,1969.230769,836.923077,1968,832,-1.230769,-4.923077,width+height
1K,21:9,Landscape,1.4,1828.571429,777.142857,1824,784,-4.571429,6.857143,width+height
1K,21:9,Landscape,1.5,1706.666667,725.333333,1712,720,5.333333,-5.333333,width+height
1K,21:9,Landscape,1.6,1600.000000,680.000000,1600,672,0.000000,-8.000000,height
1K,21:9,Landscape,1.7,1505.882353,640.000000,1504,640,-1.882353,0.000000,width
1K,21:9,Landscape,1.8,1422.222222,604.444444,1424,608,1.777778,3.555556,width+height
1K,21:9,Landscape,1.9,1347.368421,572.631579,1344,576,-3.368421,3.368421,width+height
1K,21:9,Portrait,1.1,989.090909,2327.272727,992,2320,2.909091,-7.272727,width+height
1K,21:9,Portrait,1.2,906.666667,2133.333333,912,2128,5.333333,-5.333333,width+height
1K,21:9,Portrait,1.3,836.923077,1969.230769,832,1968,-4.923077,-1.230769,width+height
1K,21:9,Portrait,1.4,777.142857,1828.571429,784,1824,6.857143,-4.571429,width+height
1K,21:9,Portrait,1.5,725.333333,1706.666667,720,1712,-5.333333,5.333333,width+height
1K,21:9,Portrait,1.6,680.000000,1600.000000,672,1600,-8.000000,0.000000,width
1K,21:9,Portrait,1.7,640.000000,1505.882353,640,1504,0.000000,-1.882353,height
1K,21:9,Portrait,1.8,604.444444,1422.222222,608,1424,3.555556,1.777778,width+height
1K,21:9,Portrait,1.9,572.631579,1347.368421,576,1344,3.368421,-3.368421,width+height
2K,1:1,Landscape,1.1,1861.818182,1861.818182,1856,1856,-5.818182,-5.818182,width+height
2K,1:1,Landscape,1.2,1706.666667,1706.666667,1712,1712,5.333333,5.333333,width+height
2K,1:1,Landscape,1.3,1575.384615,1575.384615,1568,1568,-7.384615,-7.384615,width+height
2K,1:1,Landscape,1.4,1462.857143,1462.857143,1456,1456,-6.857143,-6.857143,width+height
2K,1:1,Landscape,1.5,1365.333333,1365.333333,1360,1360,-5.333333,-5.333333,width+height
2K,1:1,Landscape,1.7,1204.705882,1204.705882,1200,1200,-4.705882,-4.705882,width+height
2K,1:1,Landscape,1.8,1137.777778,1137.777778,1136,1136,-1.777778,-1.777778,width+height
2K,1:1,Landscape,1.9,1077.894737,1077.894737,1072,1072,-5.894737,-5.894737,width+height
2K,1:1,Portrait,1.1,1861.818182,1861.818182,1856,1856,-5.818182,-5.818182,width+height
2K,1:1,Portrait,1.2,1706.666667,1706.666667,1712,1712,5.333333,5.333333,width+height
2K,1:1,Portrait,1.3,1575.384615,1575.384615,1568,1568,-7.384615,-7.384615,width+height
2K,1:1,Portrait,1.4,1462.857143,1462.857143,1456,1456,-6.857143,-6.857143,width+height
2K,1:1,Portrait,1.5,1365.333333,1365.333333,1360,1360,-5.333333,-5.333333,width+height
2K,1:1,Portrait,1.7,1204.705882,1204.705882,1200,1200,-4.705882,-4.705882,width+height
2K,1:1,Portrait,1.8,1137.777778,1137.777778,1136,1136,-1.777778,-1.777778,width+height
2K,1:1,Portrait,1.9,1077.894737,1077.894737,1072,1072,-5.894737,-5.894737,width+height
2K,2:3,Landscape,1.1,2327.272727,1556.363636,2320,1552,-7.272727,-4.363636,width+height
