resolution,aspect_ratio,orientation,scale,expected_target_width,expected_target_height,raw_width_after_scale,raw_height_after_scale,output_width,output_height,actual_target_width,actual_target_height,target_delta_width,target_delta_height,target_delta,rounded,rounded_axes,width_delta,height_delta
2K,16:9,Landscape,1.3,2560,1440,1969.230769,1107.692308,1968,1104,2558,1435,-2,-5,"-2W, -5H",yes,width+height,-1.230769,-3.692308
2K,16:9,Landscape,1.4,2560,1440,1828.571429,1028.571429,1824,1024,2554,1434,-6,-6,"-6W, -6H",yes,width+height,-4.571429,-4.571429
2K,16:9,Landscape,1.5,2560,1440,1706.666667,960.000000,1712,960,2568,1440,8,0,+8W,yes,width,5.333333,0.000000
2K,16:9,Landscape,1.6,2560,1440,1600.000000,900.000000,1600,896,2560,1434,0,-6,-6H,yes,height,0.000000,-4.000000
2K,16:9,Landscape,1.7,2560,1440,1505.882353,847.058824,1504,848,2557,1442,-3,2,"-3W, +2H",yes,width+height,-1.882353,0.941176
2K,16:9,Landscape,1.8,2560,1440,1422.222222,800.000000,1424,800,2563,1440,3,0,+3W,yes,width,1.777778,0.000000
2K,16:9,Landscape,1.9,2560,1440,1347.368421,757.894737,1344,752,2554,1429,-6,-11,"-6W, -11H",yes,width+height,-3.368421,-5.894737
2K,16:9,Landscape,2.0,2560,1440,1280.000000,720.000000,1280,720,2560,1440,0,0,0,no,,0.000000,0.000000
2K,16:9,Portrait,1.0,1440,2560,1440.000000,2560.000000,1440,2560,1440,2560,0,0,0,no,,0.000000,0.000000
2K,16:9,Portrait,1.1,1440,2560,1309.090909,2327.272727,1312,2320,1443,2552,3,-8,"+3W, -8H",yes,width+height,2.909091,-7.272727
2K,16:9,Portrait,1.2,1440,2560,1200.000000,2133.333333,1200,2128,1440,2554,0,-6,-6H,yes,height,0.000000,-5.333333
2K,16:9,Portrait,1.3,1440,2560,1107.692308,1969.230769,1104,1968,1435,2558,-5,-2,"-5W, -2H",yes,width+height,-3.692308,-1.230769
2K,16:9,Portrait,1.4,1440,2560,1028.571429,1828.571429,1024,1824,1434,2554,-6,-6,"-6W, -6H",yes,width+height,-4.571429,-4.571429
2K,16:9,Portrait,1.5,1440,2560,960.000000,1706.666667,960,1712,1440,2568,0,8,+8H,yes,height,0.000000,5.333333
2K,16:9,Portrait,1.6,1440,2560,900.000000,1600.000000,896,1600,1434,2560,-6,0,-6W,yes,width,-4.000000,0.000000
2K,16:9,Portrait,1.7,1440,2560,847.058824,1505.882353,848,1504,1442,2557,2,-3,"+2W, -3H",yes,width+height,0.941176,-1.882353
2K,16:9,Portrait,1.8,1440,2560,800.000000,1422.222222,800,1424,1440,2563,0,3,+3H,yes,height,0.000000,1.777778
2K,16:9,Portrait,1.9,1440,2560,757.894737,1347.368421,752,1344,1429,2554,-11,-6,"-11W, -6H",yes,width+height,-5.894737,-3.368421
2K,16:9,Portrait,2.0,1440,2560,720.000000,1280.000000,720,1280,1440,2560,0,0,0,no,,0.000000,0.000000
2K,21:9,Landscape,1.0,3440,1440,3440.000000,1440.000000,3440,1440,3440,1440,0,0,0,no,,0.000000,0.000000
2K,21:9,Landscape,1.1,3440,1440,3127.272727,1309.090909,3120,1312,3432,1443,-8,3,"-8W, +3H",yes,width+height,-7.272727,2.909091
2K,21:9,Landscape,1.2,3440,1440,2866.666667,1200.000000,2864,1200,3437,1440,-3,0,-3W,yes,width,-2.666667,0.000000
2K,21:9,Landscape,1.3,3440,1440,2646.153846,1107.692308,2640,1104,3432,1435,-8,-5,"-8W, -5H",yes,width+height,-6.153846,-3.692308
2K,21:9,Landscape,1.4,3440,1440,2457.142857,1028.571429,2464,1024,3450,1434,10,-6,"+10W, -6H",yes,width+height,6.857143,-4.571429
2K,21:9,Landscape,1.5,3440,1440,2293.333333,960.000000,2288,960,3432,1440,-8,0,-8W,yes,width,-5.333333,0.000000
2K,21:9,Landscape,1.6,3440,1440,2150.000000,900.000000,2144,896,3430,1434,-10,-6,"-10W, -6H",yes,width+height,-6.000000,-4.000000
2K,21:9,Landscape,1.7,3440,1440,2023.529412,847.058824,2016,848,3427,1442,-13,2,"-13W, +2H",yes,width+height,-7.529412,0.941176
2K,21:9,Landscape,1.8,3440,1440,1911.111111,800.000000,1904,800,3427,1440,-13,0,-13W,yes,width,-7.111111,0.000000
2K,21:9,Landscape,1.9,3440,1440,1810.526316,757.894737,1808,752,3435,1429,-5,-11,"-5W, -11H",yes,width+height,-2.526316,-5.894737
2K,21:9,Landscape,2.0,3440,1440,1720.000000,720.000000,1728,720,3456,1440,16,0,+16W,yes,width,8.000000,0.000000
2K,21:9,Portrait,1.0,1440,3440,1440.000000,3440.000000,1440,3440,1440,3440,0,0,0,no,,0.000000,0.000000
2K,21:9,Portrait,1.1,1440,3440,1309.090909,3127.272727,1312,3120,1443,3432,3,-8,"+3W, -8H",yes,width+height,2.909091,-7.272727
2K,21:9,Portrait,1.2,1440,3440,1200.000000,2866.666667,1200,2864,1440,3437,0,-3,-3H,yes,height,0.000000,-2.666667
2K,21:9,Portrait,1.3,1440,3440,1107.692308,2646.153846,1104,2640,1435,3432,-5,-8,"-5W, -8H",yes,width+height,-3.692308,-6.153846
2K,21:9,Portrait,1.4,1440,3440,1028.571429,2457.142857,1024,2464,1434,3450,-6,10,"-6W, +10H",yes,width+height,-4.571429,6.857143
2K,21:9,Portrait,1.5,1440,3440,960.000000,2293.333333,960,2288,1440,3432,0,-8,-8H,yes,height,0.000000,-5.333333
2K,21:9,Portrait,1.6,1440,3440,900.000000,2150.000000,896,2144,1434,3430,-6,-10,"-6W, -10H",yes,width+height,-4.000000,-6.000000
2K,21:9,Portrait,1.7,1440,3440,847.058824,2023.529412,848,2016,1442,3427,2,-13,"+2W, -13H",yes,width+height,0.941176,-7.529412
2K,21:9,Portrait,1.8,1440,3440,800.000000,1911.111111,800,1904,1440,3427,0,-13,-13H,yes,height,0.000000,-7.111111
2K,21:9,Portrait,1.9,1440,3440,757.894737,1810.526316,752,1808,1429,3435,-11,-5,"-11W, -5H",yes,width+height,-5.894737,-2.526316
2K,21:9,Portrait,2.0,1440,3440,720.000000,1720.000000,720,1728,1440,3456,0,16,+16H,yes,height,0.000000,8.000000
4K,1:1,Landscape,1.0,2160,2160,2160.000000,2160.000000,2160,2160,2160,2160,0,0,0,no,,0.000000,0.000000
4K,1:1,Landscape,1.1,2160,2160,1963.636364,1963.636364,1968,1968,2165,2165,5,5,"+5W, +5H",yes,width+height,4.363636,4.363636
4K,1:1,Landscape,1.2,2160,2160,1800.000000,1800.000000,1792,1792,2150,2150,-10,-10,"-10W, -10H",yes,width+height,-8.000000,-8.000000
4K,1:1,Landscape,1.3,2160,2160,1661.538462,1661.538462,1664,1664,2163,2163,3,3,"+3W, +3H",yes,width+height,2.461538,2.461538
4K,1:1,Landscape,1.4,2160,2160,1542.857143,1542.857143,1536,1536,2150,2150,-10,-10,"-10W, -10H",yes,width+height,-6.857143,-6.857143
4K,1:1,Landscape,1.5,2160,2160,1440.000000,1440.000000,1440,1440,2160,2160,0,0,0,no,,0.000000,0.000000
4K,1:1,Landscape,1.6,2160,2160,1350.000000,1350.000000,1344,1344,2150,2150,-10,-10,"-10W, -10H",yes,width+height,-6.000000,-6.000000
4K,1:1,Landscape,1.7,2160,2160,1270.588235,1270.588235,1264,1264,2149,2149,-11,-11,"-11W, -11H",yes,width+height,-6.588235,-6.588235
4K,1:1,Landscape,1.8,2160,2160,1200.000000,1200.000000,1200,1200,2160,2160,0,0,0,no,,0.000000,0.000000
4K,1:1,Landscape,1.9,2160,2160,1136.842105,1136.842105,1136,1136,2158,2158,-2,-2,"-2W, -2H",yes,width+height,-0.842105,-0.842105
4K,1:1,Landscape,2.0,2160,2160,1080.000000,1080.000000,1088,1088,2176,2176,16,16,"+16W, +16H",yes,width+height,8.000000,8.000000
4K,1:1,Portrait,1.0,2160,2160,2160.000000,2160.000000,2160,2160,2160,2160,0,0,0,no,,0.000000,0.000000
4K,1:1,Portrait,1.1,2160,2160,1963.636364,1963.636364,1968,1968,2165,2165,5,5,"+5W, +5H",yes,width+height,4.363636,4.363636
4K,1:1,Portrait,1.2,2160,2160,1800.000000,1800.000000,1792,1792,2150,2150,-10,-10,"-10W, -10H",yes,width+height,-8.000000,-8.000000
4K,1:1,Portrait,1.3,2160,2160,1661.538462,1661.538462,1664,1664,2163,2163,3,3,"+3W, +3H",yes,width+height,2.461538,2.461538
4K,1:1,Portrait,1.4,2160,2160,1542.857143,1542.857143,1536,1536,2150,2150,-10,-10,"-10W, -10H",yes,width+height,-6.857143,-6.857143
4K,1:1,Portrait,1.5,2160,2160,1440.000000,1440.000000,1440,1440,2160,2160,0,0,0,no,,0.000000,0.000000
4K,1:1,Portrait,1.6,2160,2160,1350.000000,1350.000000,1344,1344,2150,2150,-10,-10,"-10W, -10H",yes,width+height,-6.000000,-6.000000
4K,1:1,Portrait,1.7,2160,2160,1270.588235,1270.588235,1264,1264,2149,2149,-11,-11,"-11W, -11H",yes,width+height,-6.588235,-6.588235
4K,1:1,Portrait,1.8,2160,2160,1200.000000,1200.000000,1200,1200,2160,2160,0,0,0,no,,0.000000,0.000000
4K,1:1,Portrait,1.9,2160,2160,1136.842105,1136.842105,1136,1136,2158,2158,-2,-2,"-2W, -2H",yes,width+height,-0.842105,-0.842105
4K,1:1,Portrait,2.0,2160,2160,1080.000000,1080.000000,1088,1088,2176,2176,16,16,"+16W, +16H",yes,width+height,8.000000,8.000000
4K,2:3,Landscape,1.0,3840,2560,3840.000000,2560.000000,3840,2560,3840,2560,0,0,0,no,,0.000000,0.000000
4K,2:3,Landscape,1.1,3840,2560,3490.909091,2327.272727,3488,2320,3837,2552,-3,-8,"-3W, -8H",yes,width+height,-2.909091,-7.272727
4K,2:3,Landscape,1.2,3840,2560,3200.000000,2133.333333,3200,2128,3840,2554,0,-6,-6H,yes,height,0.000000,-5.333333
4K,2:3,Landscape,1.3,3840,2560,2953.846154,1969.230769,2960,1968,3848,2558,8,-2,"+8W, -2H",yes,width+height,6.153846,-1.230769
4K,2:3,Landscape,1.4,3840,2560,2742.857143,1828.571429,2736,1824,3830,2554,-10,-6,"-10W, -6H",yes,width+height,-6.857143,-4.571429
4K,2:3,Landscape,1.5,3840,2560,2560.000000,1706.666667,2560,1712,3840,2568,0,8,+8H,yes,height,0.000000,5.333333
4K,2:3,Landscape,1.6,3840,2560,2400.000000,1600.000000,2400,1600,3840,2560,0,0,0,no,,0.000000,0.000000
4K,2:3,Landscape,1.7,3840,2560,2258.823529,1505.882353,2256,1504,3835,2557,-5,-3,"-5W, -3H",yes,width+height,-2.823529,-1.882353
4K,2:3,Landscape,1.8,3840,2560,2133.333333,1422.222222,2128,1424,3830,2563,-10,3,"-10W, +3H",yes,width+height,-5.333333,1.777778
4K,2:3,Landscape,1.9,3840,2560,2021.052632,1347.368421,2016,1344,3830,2554,-10,-6,"-10W, -6H",yes,width+height,-5.052632,-3.368421
4K,2:3,Landscape,2.0,3840,2560,1920.000000,1280.000000,1920,1280,3840,2560,0,0,0,no,,0.000000,0.000000
4K,2:3,Portrait,1.0,2560,3840,2560.000000,3840.000000,2560,3840,2560,3840,0,0,0,no,,0.000000,0.000000
4K,2:3,Portrait,1.1,2560,3840,2327.272727,3490.909091,2320,3488,2552,3837,-8,-3,"-8W, -3H",yes,width+height,-7.272727,-2.909091
4K,2:3,Portrait,1.2,2560,3840,2133.333333,3200.000000,2128,3200,2554,3840,-6,0,-6W,yes,width,-5.333333,0.000000
4K,2:3,Portrait,1.3,2560,3840,1969.230769,2953.846154,1968,2960,2558,3848,-2,8,"-2W, +8H",yes,width+height,-1.230769,6.153846
4K,2:3,Portrait,1.4,2560,3840,1828.571429,2742.857143,1824,2736,2554,3830,-6,-10,"-6W, -10H",yes,width+height,-4.571429,-6.857143
4K,2:3,Portrait,1.5,2560,3840,1706.666667,2560.000000,1712,2560,2568,3840,8,0,+8W,yes,width,5.333333,0.000000
4K,2:3,Portrait,1.6,2560,3840,1600.000000,2400.000000,1600,2400,2560,3840,0,0,0,no,,0.000000,0.000000
4K,2:3,Portrait,1.7,2560,3840,1505.882353,2258.823529,1504,2256,2557,3835,-3,-5,"-3W, -5H",yes,width+height,-1.882353,-2.823529
4K,2:3,Portrait,1.8,2560,3840,1422.222222,2133.333333,1424,2128,2563,3830,3,-10,"+3W, -10H",yes,width+height,1.777778,-5.333333
4K,2:3,Portrait,1.9,2560,3840,1347.368421,2021.052632,1344,2016,2554,3830,-6,-10,"-6W, -10H",yes,width+height,-3.368421,-5.052632
4K,2:3,Portrait,2.0,2560,3840,1280.000000,1920.000000,1280,1920,2560,3840,0,0,0,no,,0.000000,0.000000
4K,3:4,Landscape,1.0,3840,2880,3840.000000,2880.000000,3840,2880,3840,2880,0,0,0,no,,0.000000,0.000000
4K,3:4,Landscape,1.1,3840,2880,3490.909091,2618.181818,3488,2624,3837,2886,-3,6,"-3W, +6H",yes,width+height,-2.909091,5.818182
4K,3:4,Landscape,1.2,3840,2880,3200.000000,2400.000000,3200,2400,3840,2880,0,0,0,no,,0.000000,0.000000
4K,3:4,Landscape,1.3,3840,2880,2953.846154,2215.384615,2960,2208,3848,2870,8,-10,"+8W, -10H",yes,width+height,6.153846,-7.384615
4K,3:4,Landscape,1.4,3840,2880,2742.857143,2057.142857,2736,2064,3830,2890,-10,10,"-10W, +10H",yes,width+height,-6.857143,6.857143
4K,3:4,Landscape,1.5,3840,2880,2560.000000,1920.000000,2560,1920,3840,2880,0,0,0,no,,0.000000,0.000000
4K,3:4,Landscape,1.6,3840,2880,2400.000000,1800.000000,2400,1792,3840,2867,0,-13,-13H,yes,height,0.000000,-8.000000
4K,3:4,Landscape,1.7,3840,2880,2258.823529,1694.117647,2256,1696,3835,2883,-5,3,"-5W, +3H",yes,width+height,-2.823529,1.882353
4K,3:4,Landscape,1.8,3840,2880,2133.333333,1600.000000,2128,1600,3830,2880,-10,0,-10W,yes,width,-5.333333,0.000000
4K,3:4,Landscape,1.9,3840,2880,2021.052632,1515.789474,2016,1520,3830,2888,-10,8,"-10W, +8H",yes,width+height,-5.052632,4.210526
4K,3:4,Landscape,2.0,3840,2880,1920.000000,1440.000000,1920,1440,3840,2880,0,0,0,no,,0.000000,0.000000
4K,3:4,Portrait,1.0,2880,3840,2880.000000,3840.000000,2880,3840,2880,3840,0,0,0,no,,0.000000,0.000000
4K,3:4,Portrait,1.1,2880,3840,2618.181818,3490.909091,2624,3488,2886,3837,6,-3,"+6W, -3H",yes,width+height,5.818182,-2.909091
4K,3:4,Portrait,1.2,2880,3840,2400.000000,3200.000000,2400,3200,2880,3840,0,0,0,no,,0.000000,0.000000
4K,3:4,Portrait,1.3,2880,3840,2215.384615,2953.846154,2208,2960,2870,3848,-10,8,"-10W, +8H",yes,width+height,-7.384615,6.153846
4K,3:4,Portrait,1.4,2880,3840,2057.142857,2742.857143,2064,2736,2890,3830,10,-10,"+10W, -10H",yes,width+height,6.857143,-6.857143
4K,3:4,Portrait,1.5,2880,3840,1920.000000,2560.000000,1920,2560,2880,3840,0,0,0,no,,0.000000,0.000000
4K,3:4,Portrait,1.6,2880,3840,1800.000000,2400.000000,1792,2400,2867,3840,-13,0,-13W,yes,width,-8.000000,0.000000
4K,3:4,Portrait,1.7,2880,3840,1694.117647,2258.823529,1696,2256,2883,3835,3,-5,"+3W, -5H",yes,width+height,1.882353,-2.823529
4K,3:4,Portrait,1.8,2880,3840,1600.000000,2133.333333,1600,2128,2880,3830,0,-10,-10H,yes,height,0.000000,-5.333333
4K,3:4,Portrait,1.9,2880,3840,1515.789474,2021.052632,1520,2016,2888,3830,8,-10,"+8W, -10H",yes,width+height,4.210526,-5.052632
4K,3:4,Portrait,2.0,2880,3840,1440.000000,1920.000000,1440,1920,2880,3840,0,0,0,no,,0.000000,0.000000
4K,16:9,Landscape,1.0,3840,2160,3840.000000,2160.000000,3840,2160,3840,2160,0,0,0,no,,0.000000,0.000000
4K,16:9,Landscape,1.1,3840,2160,3490.909091,1963.636364,3488,1968,3837,2165,-3,5,"-3W, +5H",yes,width+height,-2.909091,4.363636
4K,16:9,Landscape,1.2,3840,2160,3200.000000,1800.000000,3200,1792,3840,2150,0,-10,-10H,yes,height,0.000000,-8.000000
4K,16:9,Landscape,1.3,3840,2160,2953.846154,1661.538462,2960,1664,3848,2163,8,3,"+8W, +3H",yes,width+height,6.153846,2.461538
4K,16:9,Landscape,1.4,3840,2160,2742.857143,1542.857143,2736,1536,3830,2150,-10,-10,"-10W, -10H",yes,width+height,-6.857143,-6.857143
4K,16:9,Landscape,1.5,3840,2160,2560.000000,1440.000000,2560,1440,3840,2160,0,0,0,no,,0.000000,0.000000
4K,16:9,Landscape,1.6,3840,2160,2400.000000,1350.000000,2400,1344,3840,2150,0,-10,-10H,yes,height,0.000000,-6.000000
4K,16:9,Landscape,1.7,3840,2160,2258.823529,1270.588235,2256,1264,3835,2149,-5,-11,"-5W, -11H",yes,width+height,-2.823529,-6.588235
4K,16:9,Landscape,1.8,3840,2160,2133.333333,1200.000000,2128,1200,3830,2160,-10,0,-10W,yes,width,-5.333333,0.000000
4K,16:9,Landscape,1.9,3840,2160,2021.052632,1136.842105,2016,1136,3830,2158,-10,-2,"-10W, -2H",yes,width+height,-5.052632,-0.842105
4K,16:9,Landscape,2.0,3840,2160,1920.000000,1080.000000,1920,1088,3840,2176,0,16,+16H,yes,height,0.000000,8.000000
4K,16:9,Portrait,1.0,2160,3840,2160.000000,3840.000000,2160,3840,2160,3840,0,0,0,no,,0.000000,0.000000
4K,16:9,Portrait,1.1,2160,3840,1963.636364,3490.909091,1968,3488,2165,3837,5,-3,"+5W, -3H",yes,width+height,4.363636,-2.909091
4K,16:9,Portrait,1.2,2160,3840,1800.000000,3200.000000,1792,3200,2150,3840,-10,0,-10W,yes,width,-8.000000,0.000000
4K,16:9,Portrait,1.3,2160,3840,1661.538462,2953.846154,1664,2960,2163,3848,3,8,"+3W, +8H",yes,width+height,2.461538,6.153846
4K,16:9,Portrait,1.4,2160,3840,1542.857143,2742.857143,1536,2736,2150,3830,-10,-10,"-10W, -10H",yes,width+height,-6.857143,-6.857143
4K,16:9,Portrait,1.5,2160,3840,1440.000000,2560.000000,1440,2560,2160,3840,0,0,0,no,,0.000000,0.000000
4K,16:9,Portrait,1.6,2160,3840,1350.000000,2400.000000,1344,2400,2150,3840,-10,0,-10W,yes,width,-6.000000,0.000000
4K,16:9,Portrait,1.7,2160,3840,1270.588235,2258.823529,1264,2256,2149,3835,-11,-5,"-11W, -5H",yes,width+height,-6.588235,-2.823529
4K,16:9,Portrait,1.8,2160,3840,1200.000000,2133.333333,1200,2128,2160,3830,0,-10,-10H,yes,height,0.000000,-5.333333
4K,16:9,Portrait,1.9,2160,3840,1136.842105,2021.052632,1136,2016,2158,3830,-2,-10,"-2W, -10H",yes,width+height,-0.842105,-5.052632
4K,16:9,Portrait,2.0,2160,3840,1080.000000,1920.000000,1088,1920,2176,3840,16,0,+16W,yes,width,8.000000,0.000000
4K,21:9,Landscape,1.0,5120,2160,5120.000000,2160.000000,5120,2160,5120,2160,0,0,0,no,,0.000000,0.000000
4K,21:9,Landscape,1.1,5120,2160,4654.545455,1963.636364,4656,1968,5122,2165,2,5,"+2W, +5H",yes,width+height,1.454545,4.363636
4K,21:9,Landscape,1.2,5120,2160,4266.666667,1800.000000,4272,1792,5126,2150,6,-10,"+6W, -10H",yes,width+height,5.333333,-8.000000
4K,21:9,Landscape,1.3,5120,2160,3938.461538,1661.538462,3936,1664,5117,2163,-3,3,"-3W, +3H",yes,width+height,-2.461538,2.461538
4K,21:9,Landscape,1.4,5120,2160,3657.142857,1542.857143,3664,1536,5130,2150,10,-10,"+10W, -10H",yes,width+height,6.857143,-6.857143
4K,21:9,Landscape,1.5,5120,2160,3413.333333,1440.000000,3408,1440,5112,2160,-8,0,-8W,yes,width,-5.333333,0.000000
4K,21:9,Landscape,1.6,5120,2160,3200.000000,1350.000000,3200,1344,5120,2150,0,-10,-10H,yes,height,0.000000,-6.000000
4K,21:9,Landscape,1.7,5120,2160,3011.764706,1270.588235,3008,1264,5114,2149,-6,-11,"-6W, -11H",yes,width+height,-3.764706,-6.588235
4K,21:9,Landscape,1.8,5120,2160,2844.444444,1200.000000,2848,1200,5126,2160,6,0,+6W,yes,width,3.555556,0.000000
4K,21:9,Landscape,1.9,5120,2160,2694.736842,1136.842105,2688,1136,5107,2158,-13,-2,"-13W, -2H",yes,width+height,-6.736842,-0.842105
4K,21:9,Landscape,2.0,5120,2160,2560.000000,1080.000000,2560,1088,5120,2176,0,16,+16H,yes,height,0.000000,8.000000
4K,21:9,Portrait,1.0,2160,5120,2160.000000,5120.000000,2160,5120,2160,5120,0,0,0,no,,0.000000,0.000000
4K,21:9,Portrait,1.1,2160,5120,1963.636364,4654.545455,1968,4656,2165,5122,5,2,"+5W, +2H",yes,width+height,4.363636,1.454545
4K,21:9,Portrait,1.2,2160,5120,1800.000000,4266.666667,1792,4272,2150,5126,-10,6,"-10W, +6H",yes,width+height,-8.000000,5.333333
4K,21:9,Portrait,1.3,2160,5120,1661.538462,3938.461538,1664,3936,2163,5117,3,-3,"+3W, -3H",yes,width+height,2.461538,-2.461538
4K,21:9,Portrait,1.4,2160,5120,1542.857143,3657.142857,1536,3664,2150,5130,-10,10,"-10W, +10H",yes,width+height,-6.857143,6.857143
4K,21:9,Portrait,1.5,2160,5120,1440.000000,3413.333333,1440,3408,2160,5112,0,-8,-8H,yes,height,0.000000,-5.333333
4K,21:9,Portrait,1.6,2160,5120,1350.000000,3200.000000,1344,3200,2150,5120,-10,0,-10W,yes,width,-6.000000,0.000000
4K,21:9,Portrait,1.7,2160,5120,1270.588235,3011.764706,1264,3008,2149,5114,-11,-6,"-11W, -6H",yes,width+height,-6.588235,-3.764706
4K,21:9,Portrait,1.8,2160,5120,1200.000000,2844.444444,1200,2848,2160,5126,0,6,+6H,yes,height,0.000000,3.555556
4K,21:9,Portrait,1.9,2160,5120,1136.842105,2694.736842,1136,2688,2158,5107,-2,-13,"-2W, -13H",yes,width+height,-0.842105,-6.736842
4K,21:9,Portrait,2.0,2160,5120,1080.000000,2560.000000,1088,2560,2176,5120,16,0,+16W,yes,width,8.000000,0.000000
