resolution,aspect_ratio,orientation,scale,expected_target_width,expected_target_height,raw_width_after_scale,raw_height_after_scale,output_width,output_height,actual_target_width,actual_target_height,target_delta_width,target_delta_height,target_delta,rounded,rounded_axes,width_delta,height_delta
1K,2:3,Portrait,2.0,1280,1920,640.000000,960.000000,640,960,1280,1920,0,0,0,no,,0.000000,0.000000
1K,3:4,Landscape,1.0,1920,1440,1920.000000,1440.000000,1920,1440,1920,1440,0,0,0,no,,0.000000,0.000000
1K,3:4,Landscape,1.1,1920,1440,1745.454545,1309.090909,1744,1312,1918,1443,-2,3,"-2W, +3H",yes,width+height,-1.454545,2.909091
1K,3:4,Landscape,1.2,1920,1440,1600.000000,1200.000000,1600,1200,1920,1440,0,0,0,no,,0.000000,0.000000
1K,3:4,Landscape,1.3,1920,1440,1476.923077,1107.692308,1472,1104,1914,1435,-6,-5,"-6W, -5H",yes,width+height,-4.923077,-3.692308
1K,3:4,Landscape,1.4,1920,1440,1371.428571,1028.571429,1376,1024,1926,1434,6,-6,"+6W, -6H",yes,width+height,4.571429,-4.571429
1K,3:4,Landscape,1.5,1920,1440,1280.000000,960.000000,1280,960,1920,1440,0,0,0,no,,0.000000,0.000000
1K,3:4,Landscape,1.6,1920,1440,1200.000000,900.000000,1200,896,1920,1434,0,-6,-6H,yes,height,0.000000,-4.000000
1K,3:4,Landscape,1.7,1920,1440,1129.411765,847.058824,1136,848,1931,1442,11,2,"+11W, +2H",yes,width+height,6.588235,0.941176
1K,3:4,Landscape,1.8,1920,1440,1066.666667,800.000000,1072,800,1930,1440,10,0,+10W,yes,width,5.333333,0.000000
1K,3:4,Landscape,1.9,1920,1440,1010.526316,757.894737,1008,752,1915,1429,-5,-11,"-5W, -11H",yes,width+height,-2.526316,-5.894737
1K,3:4,Landscape,2.0,1920,1440,960.000000,720.000000,960,720,1920,1440,0,0,0,no,,0.000000,0.000000
1K,3:4,Portrait,1.0,1440,1920,1440.000000,1920.000000,1440,1920,1440,1920,0,0,0,no,,0.000000,0.000000
1K,3:4,Portrait,1.1,1440,1920,1309.090909,1745.454545,1312,1744,1443,1918,3,-2,"+3W, -2H",yes,width+height,2.909091,-1.454545
1K,3:4,Portrait,1.2,1440,1920,1200.000000,1600.000000,1200,1600,1440,1920,0,0,0,no,,0.000000,0.000000
