index,resolution,aspect_ratio,orientation,scale,expected_output_width,expected_output_height,actual_output_width,actual_output_height,output_ok,expected_target_width,expected_target_height,actual_target_width,actual_target_height,target_ok,prompt_id
188,2K,16:9,Portrait,1.0,1440,2560,1440,2560,true,1440,2560,1440,2560,true,5a6dac2f-6f4c-43af-8748-46cd8ab559f4
189,2K,16:9,Portrait,1.1,1312,2328,1312,2328,true,1443,2561,1443,2561,true,624f94b6-2b6e-406f-8052-ccd5d8ae3a9a
190,2K,16:9,Portrait,1.2,1200,2136,1200,2136,true,1440,2563,1440,2563,true,517ee70b-e24c-4c69-bb6f-6f7938a6a94f
191,2K,16:9,Portrait,1.3,1112,1976,1112,1976,true,1446,2569,1446,2569,true,3a199b77-72d0-49ca-ae8f-ff152784f988
192,2K,16:9,Portrait,1.4,1032,1832,1032,1832,true,1445,2565,1445,2565,true,53d96d45-32a1-43a4-81dc-7be18e290fe6
193,2K,16:9,Portrait,1.5,960,1712,960,1712,true,1440,2568,1440,2568,true,f5ab5eb4-f7d6-42c2-84f0-ee7c45312946
194,2K,16:9,Portrait,1.6,904,1600,904,1600,true,1446,2560,1446,2560,true,693465bc-fbef-4df4-b059-a149733edbfe
195,2K,16:9,Portrait,1.7,848,1512,848,1512,true,1442,2570,1442,2570,true,391dd778-972d-4bd1-81e7-65f63704f016
196,2K,16:9,Portrait,1.8,800,1424,800,1424,true,1440,2563,1440,2563,true,730897cc-bcae-43fb-8c7f-e36a780bd256
197,2K,16:9,Portrait,1.9,760,1352,760,1352,true,1444,2569,1444,2569,true,aec47ef6-dc07-46cd-8513-372ee9bb777b
198,2K,16:9,Portrait,2.0,720,1280,720,1280,true,1440,2560,1440,2560,true,cfa523b7-fe27-4106-aa1d-b17e96fd0d3d
199,2K,21:9,Landscape,1.0,3440,1440,3440,1440,true,3440,1440,3440,1440,true,90b3e0ce-dd8d-4ae6-9390-f5aa92cd1d9f
200,2K,21:9,Landscape,1.1,3128,1312,3128,1312,true,3441,1443,3441,1443,true,2a9e80b3-00f4-4118-809d-c6e87eb2ddfe
201,2K,21:9,Landscape,1.2,2872,1200,2872,1200,true,3446,1440,3446,1440,true,b372fa31-dd53-4263-a73c-225651d7fd92
202,2K,21:9,Landscape,1.3,2648,1112,2648,1112,true,3442,1446,3442,1446,true,17fba0c8-f808-47a3-8569-7839ba68d7ff
203,2K,21:9,Landscape,1.4,2464,1032,2464,1032,true,3450,1445,3450,1445,true,06b01264-0fbb-4d2f-87a7-6d4c60bc7089
204,2K,21:9,Landscape,1.5,2296,960,2296,960,true,3444,1440,3444,1440,true,e7b1cafb-935d-4f5d-b1c1-81d92d30b74d
205,2K,21:9,Landscape,1.6,2152,904,2152,904,true,3443,1446,3443,1446,true,d5af4433-e86f-47bf-9492-783b2d7776bc
206,2K,21:9,Landscape,1.7,2024,848,2024,848,true,3441,1442,3441,1442,true,db994520-439c-4707-83cc-68d734ac90e7
207,2K,21:9,Landscape,1.8,1912,800,1912,800,true,3442,1440,3442,1440,true,1316b3bd-a961-41a0-bdc0-8200d9cca9c0
208,2K,21:9,Landscape,1.9,1816,760,1816,760,true,3450,1444,3450,1444,true,e9aec13d-14da-44e5-8286-4266937e0b24
209,2K,21:9,Landscape,2.0,1720,720,1720,720,true,3440,1440,3440,1440,true,31a91773-679f-43ab-9b73-3526815b9be2
210,2K,21:9,Portrait,1.0,1440,3440,1440,3440,true,1440,3440,1440,3440,true,72056bf8-a595-4e2e-aa9f-1750ba042c36
211,2K,21:9,Portrait,1.1,1312,3128,1312,3128,true,1443,3441,1443,3441,true,df9fde99-45d6-4b87-b367-45ecaccb187d
212,2K,21:9,Portrait,1.2,1200,2872,1200,2872,true,1440,3446,1440,3446,true,e88db3e2-fa23-4e6d-be5d-4e1232a58ffe
213,2K,21:9,Portrait,1.3,1112,2648,1112,2648,true,1446,3442,1446,3442,true,d9c42ec4-31d0-48f8-9acc-a6d31b4f6f87
214,2K,21:9,Portrait,1.4,1032,2464,1032,2464,true,1445,3450,1445,3450,true,e92a72d1-07b6-4009-89ac-60e542f129e5
215,2K,21:9,Portrait,1.5,960,2296,960,2296,true,1440,3444,1440,3444,true,2e5580a9-58aa-4509-a586-927d084a7943
216,2K,21:9,Portrait,1.6,904,2152,904,2152,true,1446,3443,1446,3443,true,1bf7dcfa-2fc8-436c-a3f0-52c19e940bd7
217,2K,21:9,Portrait,1.7,848,2024,848,2024,true,1442,3441,1442,3441,true,321dd8f7-99b7-43e8-b660-56526ae9e936
218,2K,21:9,Portrait,1.8,800,1912,800,1912,true,1440,3442,1440,3442,true,8124e56a-109a-48ac-8139-c34c4021c2a1
219,2K,21:9,Portrait,1.9,760,1816,760,1816,true,1444,3450,1444,3450,true,db49cada-ac36-442c-a5e6-971227e05ad4
220,2K,21:9,Portrait,2.0,720,1720,720,1720,true,1440,3440,1440,3440,true,c57d0f89-05e2-4920-ae4a-9356bd1f9abb
221,4K,1:1,Landscape,1.0,2160,2160,2160,2160,true,2160,2160,2160,2160,true,35c619f6-89a7-4c46-8f08-904492ee43e2
222,4K,1:1,Landscape,1.1,1968,1968,1968,1968,true,2165,2165,2165,2165,true,201ef3ba-11de-431e-92b8-b55aa73d8c21
223,4K,1:1,Landscape,1.2,1800,1800,1800,1800,true,2160,2160,2160,2160,true,80a042a0-c431-4983-987d-2e2ff5505b1c
224,4K,1:1,Landscape,1.3,1664,1664,1664,1664,true,2163,2163,2163,2163,true,139668e6-a6a0-460a-892e-425b1051a755
225,4K,1:1,Landscape,1.4,1544,1544,1544,1544,true,2162,2162,2162,2162,true,cfe7314e-a959-4f0f-83a0-f01ad12d2882
226,4K,1:1,Landscape,1.5,1440,1440,1440,1440,true,2160,2160,2160,2160,true,b557429b-910d-479f-ab0c-fa6f5a19216a
227,4K,1:1,Landscape,1.6,1352,1352,1352,1352,true,2163,2163,2163,2163,true,8a1b88eb-4989-4954-8531-7a353815f27f
228,4K,1:1,Landscape,1.7,1272,1272,1272,1272,true,2162,2162,2162,2162,true,05681230-e82f-4c1c-aa12-34aef5591e94
229,4K,1:1,Landscape,1.8,1200,1200,1200,1200,true,2160,2160,2160,2160,true,f72381ca-73e4-4324-a538-d2196c1dba95
230,4K,1:1,Landscape,1.9,1144,1144,1144,1144,true,2174,2174,2174,2174,true,0482face-803b-4482-add5-7e71a7e577ab
231,4K,1:1,Landscape,2.0,1080,1080,1080,1080,true,2160,2160,2160,2160,true,52c2a70d-34b9-45eb-a29c-2715a17c5338
232,4K,1:1,Portrait,1.0,2160,2160,2160,2160,true,2160,2160,2160,2160,true,6916b9f7-9cd8-43af-b8f3-fe97d84d81e5
233,4K,1:1,Portrait,1.1,1968,1968,1968,1968,true,2165,2165,2165,2165,true,ffb312e3-4eea-4f6e-968e-a82d148b37c4
234,4K,1:1,Portrait,1.2,1800,1800,1800,1800,true,2160,2160,2160,2160,true,172de88a-07e9-4367-8b84-30ceabe5fa51
235,4K,1:1,Portrait,1.3,1664,1664,1664,1664,true,2163,2163,2163,2163,true,b1694c2d-bdba-473b-b467-ac153f530cc1
236,4K,1:1,Portrait,1.4,1544,1544,1544,1544,true,2162,2162,2162,2162,true,bdc443c9-6b4b-4d73-ab92-485dff042fd9
237,4K,1:1,Portrait,1.5,1440,1440,1440,1440,true,2160,2160,2160,2160,true,201f972a-a236-4ee5-b96b-72c234c1bf40
238,4K,1:1,Portrait,1.6,1352,1352,1352,1352,true,2163,2163,2163,2163,true,974552cc-a01c-4249-a14d-bc82d4bc1821
239,4K,1:1,Portrait,1.7,1272,1272,1272,1272,true,2162,2162,2162,2162,true,007eee84-753d-462e-a710-9d481cc499e1
240,4K,1:1,Portrait,1.8,1200,1200,1200,1200,true,2160,2160,2160,2160,true,ba3b7583-d8cf-49f8-ae19-9e381feb09bb
241,4K,1:1,Portrait,1.9,1144,1144,1144,1144,true,2174,2174,2174,2174,true,549f7abf-ccd5-4840-9f5b-d32f05dbc966
242,4K,1:1,Portrait,2.0,1080,1080,1080,1080,true,2160,2160,2160,2160,true,89297f91-7163-4315-b22c-4b01a5fc09a3
243,4K,2:3,Landscape,1.0,3840,2560,3840,2560,true,3840,2560,3840,2560,true,e3b21634-2c51-4dc7-ab77-b1864a8f9927
244,4K,2:3,Landscape,1.1,3496,2328,3496,2328,true,3846,2561,3846,2561,true,1f865f27-b05d-4f25-9b11-37fc7e09ca9e
245,4K,2:3,Landscape,1.2,3200,2136,3200,2136,true,3840,2563,3840,2563,true,44d99849-6076-45d6-b683-896faa347720
246,4K,2:3,Landscape,1.3,2960,1976,2960,1976,true,3848,2569,3848,2569,true,fde4f47e-5d5d-43d1-a161-6f9c8b52dd2a
247,4K,2:3,Landscape,1.4,2744,1832,2744,1832,true,3842,2565,3842,2565,true,c674a5b5-a7bc-4771-845f-53f4dc5aadf1
248,4K,2:3,Landscape,1.5,2560,1712,2560,1712,true,3840,2568,3840,2568,true,895d0e3c-c880-4f7b-89a6-ea2f0283f7d3
249,4K,2:3,Landscape,1.6,2400,1600,2400,1600,true,3840,2560,3840,2560,true,971a6cc9-adee-4ad3-8775-97578cfa9379
250,4K,2:3,Landscape,1.7,2264,1512,2264,1512,true,3849,2570,3849,2570,true,487b0212-b4f5-41dc-9e8d-ee70da89e0bf
251,4K,2:3,Landscape,1.8,2136,1424,2136,1424,true,3845,2563,3845,2563,true,8f92f253-194d-4da2-8fab-079126fda9df
252,4K,2:3,Landscape,1.9,2024,1352,2024,1352,true,3846,2569,3846,2569,true,55abbca3-4b0a-4838-b77b-1ec29cadfbd4
253,4K,2:3,Landscape,2.0,1920,1280,1920,1280,true,3840,2560,3840,2560,true,04634e59-e4d5-4fa4-9ba5-099dee3c3758
254,4K,2:3,Portrait,1.0,2560,3840,2560,3840,true,2560,3840,2560,3840,true,cde33a08-4dc9-4e5f-bfec-004b5ba75994
255,4K,2:3,Portrait,1.1,2328,3496,2328,3496,true,2561,3846,2561,3846,true,e873d268-540c-43d5-8d81-7ccdaafbc206
256,4K,2:3,Portrait,1.2,2136,3200,2136,3200,true,2563,3840,2563,3840,true,68c40a6e-e2c8-4342-a797-331ea263641e
257,4K,2:3,Portrait,1.3,1976,2960,1976,2960,true,2569,3848,2569,3848,true,2a4d6790-28aa-4b42-9950-6ee2fbd419f8
258,4K,2:3,Portrait,1.4,1832,2744,1832,2744,true,2565,3842,2565,3842,true,7e67e3e3-dacb-4ae9-bbf5-5b654a1beb62
259,4K,2:3,Portrait,1.5,1712,2560,1712,2560,true,2568,3840,2568,3840,true,2221e9fc-ad72-48c8-bd07-31cd32dff0c8
260,4K,2:3,Portrait,1.6,1600,2400,1600,2400,true,2560,3840,2560,3840,true,bbe65a4f-1b8a-4f13-afeb-1daaabd118b7
261,4K,2:3,Portrait,1.7,1512,2264,1512,2264,true,2570,3849,2570,3849,true,1ea0a5dc-3a57-4173-a66f-d79ec676fae0
262,4K,2:3,Portrait,1.8,1424,2136,1424,2136,true,2563,3845,2563,3845,true,12d7e224-23b1-4f1d-ab29-4c7d5058679e
263,4K,2:3,Portrait,1.9,1352,2024,1352,2024,true,2569,3846,2569,3846,true,f33fc848-4284-46be-bb74-a3832c114ab1
264,4K,2:3,Portrait,2.0,1280,1920,1280,1920,true,2560,3840,2560,3840,true,f6c11103-9850-4ef2-a9e7-78246ae5514e
265,4K,3:4,Landscape,1.0,3840,2880,3840,2880,true,3840,2880,3840,2880,true,d8f80fe6-d831-4e33-b91e-844ee28bfd04
266,4K,3:4,Landscape,1.1,3496,2624,3496,2624,true,3846,2886,3846,2886,true,d03cd34f-544c-43fe-a3f8-324b8f82fd60
267,4K,3:4,Landscape,1.2,3200,2400,3200,2400,true,3840,2880,3840,2880,true,a6f71cdc-21c0-4089-94d1-aaab76ea77d0
268,4K,3:4,Landscape,1.3,2960,2216,2960,2216,true,3848,2881,3848,2881,true,02d910de-ad0c-4e24-8663-2393429640d4
269,4K,3:4,Landscape,1.4,2744,2064,2744,2064,true,3842,2890,3842,2890,true,3e80e242-48ad-4eb7-abd0-443c2ea92be5
270,4K,3:4,Landscape,1.5,2560,1920,2560,1920,true,3840,2880,3840,2880,true,d1136399-67c8-4542-bb64-c27b3729be28
271,4K,3:4,Landscape,1.6,2400,1800,2400,1800,true,3840,2880,3840,2880,true,7745010d-2bb3-4ddc-adc7-81f704ae4399
272,4K,3:4,Landscape,1.7,2264,1696,2264,1696,true,3849,2883,3849,2883,true,d65d7c1c-75dd-4132-bb0e-2b8a6dfa3840
273,4K,3:4,Landscape,1.8,2136,1600,2136,1600,true,3845,2880,3845,2880,true,f466a49a-86cc-49b2-a0fa-c7e77848a739
274,4K,3:4,Landscape,1.9,2024,1520,2024,1520,true,3846,2888,3846,2888,true,16f23895-5e52-4187-8970-9caf564ecc5e
275,4K,3:4,Landscape,2.0,1920,1440,1920,1440,true,3840,2880,3840,2880,true,81ba274f-9881-4a94-9899-4e55464904a2
276,4K,3:4,Portrait,1.0,2880,3840,2880,3840,true,2880,3840,2880,3840,true,c41e1c4c-812b-4c2c-9935-72a6f9997b99
277,4K,3:4,Portrait,1.1,2624,3496,2624,3496,true,2886,3846,2886,3846,true,7c9fac31-7fc6-42f6-8e01-6ab9c50c14ac
278,4K,3:4,Portrait,1.2,2400,3200,2400,3200,true,2880,3840,2880,3840,true,4daa43e4-a5a9-45e2-a29f-9041dd5b5d26
279,4K,3:4,Portrait,1.3,2216,2960,2216,2960,true,2881,3848,2881,3848,true,d385cfec-6b6c-4d8f-93f2-0b9c3b1e0744
280,4K,3:4,Portrait,1.4,2064,2744,2064,2744,true,2890,3842,2890,3842,true,d9a42d40-63e5-470c-94f7-2d303417840e
281,4K,3:4,Portrait,1.5,1920,2560,1920,2560,true,2880,3840,2880,3840,true,37015743-8b5d-4aa1-9312-2e9f6ae25629
282,4K,3:4,Portrait,1.6,1800,2400,1800,2400,true,2880,3840,2880,3840,true,3bb25e1a-9bdd-4dff-979a-f5b9beaa5e40
283,4K,3:4,Portrait,1.7,1696,2264,1696,2264,true,2883,3849,2883,3849,true,3f2c6fd2-67a1-4507-a4a1-be369aec5cf4
284,4K,3:4,Portrait,1.8,1600,2136,1600,2136,true,2880,3845,2880,3845,true,d09de68c-cca5-4d08-92d2-8aa1c0daee22
285,4K,3:4,Portrait,1.9,1520,2024,1520,2024,true,2888,3846,2888,3846,true,84dfb82f-c424-47c8-aec0-4c2f6fff08e2
286,4K,3:4,Portrait,2.0,1440,1920,1440,1920,true,2880,3840,2880,3840,true,d8feaab4-67ee-45ba-9855-4cba3f8ae4e5
287,4K,16:9,Landscape,1.0,3840,2160,3840,2160,true,3840,2160,3840,2160,true,00705e0a-a26e-46ec-84d4-ce54d9ffc6ef
288,4K,16:9,Landscape,1.1,3496,1968,3496,1968,true,3846,2165,3846,2165,true,32e39b0b-6738-463f-a0c6-c4fa3e7797ed
289,4K,16:9,Landscape,1.2,3200,1800,3200,1800,true,3840,2160,3840,2160,true,74142b2c-5bee-4289-9522-7c83587c09e0
290,4K,16:9,Landscape,1.3,2960,1664,2960,1664,true,3848,2163,3848,2163,true,8e0a931f-bbce-41f4-9dfb-c65cac9489e3
291,4K,16:9,Landscape,1.4,2744,1544,2744,1544,true,3842,2162,3842,2162,true,34df269f-b1b2-41de-83a3-20e1dbce701a
292,4K,16:9,Landscape,1.5,2560,1440,2560,1440,true,3840,2160,3840,2160,true,d888bd20-1738-43e5-81da-fb85a08c56b5
293,4K,16:9,Landscape,1.6,2400,1352,2400,1352,true,3840,2163,3840,2163,true,43b5174d-4a44-47ce-804b-87dcd0288566
294,4K,16:9,Landscape,1.7,2264,1272,2264,1272,true,3849,2162,3849,2162,true,7c452168-933f-4a86-b27b-f74f82912c41
295,4K,16:9,Landscape,1.8,2136,1200,2136,1200,true,3845,2160,3845,2160,true,5185f36f-14a9-4d0f-be59-8a75f7c9ac6f
296,4K,16:9,Landscape,1.9,2024,1144,2024,1144,true,3846,2174,3846,2174,true,3aad308d-9977-494b-acf5-ce93c19ef50c
297,4K,16:9,Landscape,2.0,1920,1080,1920,1080,true,3840,2160,3840,2160,true,367401d1-c495-4cc8-8a86-94510022bd64
298,4K,16:9,Portrait,1.0,2160,3840,2160,3840,true,2160,3840,2160,3840,true,04bcb36e-e2b3-4179-9ff3-8acb52e7cd80
299,4K,16:9,Portrait,1.1,1968,3496,1968,3496,true,2165,3846,2165,3846,true,d40166ec-ad0b-4628-94ec-e233f54c09c2
300,4K,16:9,Portrait,1.2,1800,3200,1800,3200,true,2160,3840,2160,3840,true,ef6b177e-ea69-4fa1-8789-bbaa26ecc808
301,4K,16:9,Portrait,1.3,1664,2960,1664,2960,true,2163,3848,2163,3848,true,e3eca161-135b-4a0a-853d-1a03f0e801eb
302,4K,16:9,Portrait,1.4,1544,2744,1544,2744,true,2162,3842,2162,3842,true,54a09979-6c80-4014-8144-599ccbd1a5b2
303,4K,16:9,Portrait,1.5,1440,2560,1440,2560,true,2160,3840,2160,3840,true,dfbc068e-77a7-4d15-a8ad-74d2f9cccc93
304,4K,16:9,Portrait,1.6,1352,2400,1352,2400,true,2163,3840,2163,3840,true,a395d0c3-4274-4cac-9b75-0f86a6c222eb
305,4K,16:9,Portrait,1.7,1272,2264,1272,2264,true,2162,3849,2162,3849,true,38c60f7b-2c6b-4b83-994d-0cdcbbb5e049
306,4K,16:9,Portrait,1.8,1200,2136,1200,2136,true,2160,3845,2160,3845,true,6fd1a6f0-6675-4c97-b337-dcf7f31a4f47
307,4K,16:9,Portrait,1.9,1144,2024,1144,2024,true,2174,3846,2174,3846,true,9c6ff8ca-61fe-4533-9f33-1a2553c9aac5
308,4K,16:9,Portrait,2.0,1080,1920,1080,1920,true,2160,3840,2160,3840,true,c25009f1-d3ef-49b2-b8b6-a5f9e5f3b260
309,4K,21:9,Landscape,1.0,5120,2160,5120,2160,true,5120,2160,5120,2160,true,c5b94313-fb41-445a-b218-c1916037e300
310,4K,21:9,Landscape,1.1,4656,1968,4656,1968,true,5122,2165,5122,2165,true,b75321bb-86ca-4d98-bc45-6ff503cf9e92
311,4K,21:9,Landscape,1.2,4272,1800,4272,1800,true,5126,2160,5126,2160,true,060c5175-0910-48e2-89db-8a563e2dc995
312,4K,21:9,Landscape,1.3,3944,1664,3944,1664,true,5127,2163,5127,2163,true,e0964252-0fd2-40bd-bccf-f8d07a663776
313,4K,21:9,Landscape,1.4,3664,1544,3664,1544,true,5130,2162,5130,2162,true,094b57f9-2d68-4b27-b790-79839cc60aad
314,4K,21:9,Landscape,1.5,3416,1440,3416,1440,true,5124,2160,5124,2160,true,852bb4b0-1a5d-4362-9ee6-e314b1c10264
315,4K,21:9,Landscape,1.6,3200,1352,3200,1352,true,5120,2163,5120,2163,true,b034a78b-6fbb-4d6c-9c2c-54b27de8b72d
316,4K,21:9,Landscape,1.7,3016,1272,3016,1272,true,5127,2162,5127,2162,true,22893b0a-2ff0-4657-b28f-a77ef34353a3
317,4K,21:9,Landscape,1.8,2848,1200,2848,1200,true,5126,2160,5126,2160,true,96f1ae6a-b461-4dbe-abb3-262a2d1541f5
318,4K,21:9,Landscape,1.9,2696,1144,2696,1144,true,5122,2174,5122,2174,true,0c8af83a-f3ea-4b49-97b7-6d717476686f
319,4K,21:9,Landscape,2.0,2560,1080,2560,1080,true,5120,2160,5120,2160,true,ab4f808a-9473-4250-8c10-93465b300ed3
320,4K,21:9,Portrait,1.0,2160,5120,2160,5120,true,2160,5120,2160,5120,true,1390b77c-7b20-4b73-807d-c8a1c5d7c5aa
321,4K,21:9,Portrait,1.1,1968,4656,1968,4656,true,2165,5122,2165,5122,true,b337ba64-e422-4efc-94a5-cc9b84296ddb
322,4K,21:9,Portrait,1.2,1800,4272,1800,4272,true,2160,5126,2160,5126,true,c729d99f-6508-4e6a-ad45-f5263f1200f5
323,4K,21:9,Portrait,1.3,1664,3944,1664,3944,true,2163,5127,2163,5127,true,fa9679b7-b9f8-462d-8e0e-4223cd6c2cb3
324,4K,21:9,Portrait,1.4,1544,3664,1544,3664,true,2162,5130,2162,5130,true,6698a3d2-8e47-4cf0-b10c-0da0ce81bbce
325,4K,21:9,Portrait,1.5,1440,3416,1440,3416,true,2160,5124,2160,5124,true,0bc6e63c-a61c-4dba-a636-80800bcae37a
326,4K,21:9,Portrait,1.6,1352,3200,1352,3200,true,2163,5120,2163,5120,true,ec67ccd4-d493-4141-bc1f-2e0afe28f3fb
327,4K,21:9,Portrait,1.7,1272,3016,1272,3016,true,2162,5127,2162,5127,true,9df96121-430e-45e5-a6ce-cfe80cf80f0f
328,4K,21:9,Portrait,1.8,1200,2848,1200,2848,true,2160,5126,2160,5126,true,e6d8155a-be2d-4808-9924-e825c5e8d277
329,4K,21:9,Portrait,1.9,1144,2696,1144,2696,true,2174,5122,2174,5122,true,a5aa29fb-3a57-4d4e-bb37-4f93ed8a5041
330,4K,21:9,Portrait,2.0,1080,2560,1080,2560,true,2160,5120,2160,5120,true,11c20f5e-7884-4c43-ad98-ff2201f356a8
