index,resolution,aspect_ratio,orientation,scale,expected_output_width,expected_output_height,actual_output_width,actual_output_height,output_ok,expected_target_width,expected_target_height,actual_target_width,actual_target_height,target_ok,prompt_id
45,1K,3:4,Landscape,1.0,1920,1440,1920,1440,true,1920,1440,1920,1440,true,abc35cbf-e1b8-478a-8ec5-8d9938d4743f
46,1K,3:4,Landscape,1.1,1752,1312,1752,1312,true,1927,1443,1927,1443,true,82b31162-e228-4475-a889-3c2163eab4a4
47,1K,3:4,Landscape,1.2,1600,1200,1600,1200,true,1920,1440,1920,1440,true,0c9930d3-c119-4278-aea5-8e02854bc5c3
48,1K,3:4,Landscape,1.3,1480,1112,1480,1112,true,1924,1446,1924,1446,true,ae65691d-a65c-4661-abda-57901fad9bae
49,1K,3:4,Landscape,1.4,1376,1032,1376,1032,true,1926,1445,1926,1445,true,73eff713-f3b6-4c81-91ee-aee4ebddbf53
50,1K,3:4,Landscape,1.5,1280,960,1280,960,true,1920,1440,1920,1440,true,280a2452-647a-4861-a531-1e71fdcee891
51,1K,3:4,Landscape,1.6,1200,904,1200,904,true,1920,1446,1920,1446,true,d1618ec8-db3b-4e9f-947e-bcc04377d137
52,1K,3:4,Landscape,1.7,1136,848,1136,848,true,1931,1442,1931,1442,true,06f83ace-39f9-4167-9f15-72f286a0f6cc
53,1K,3:4,Landscape,1.8,1072,800,1072,800,true,1930,1440,1930,1440,true,fec64805-6106-4080-bb82-84b4183c9ced
54,1K,3:4,Landscape,1.9,1016,760,1016,760,true,1930,1444,1930,1444,true,c8643d71-133d-4712-b526-948b6d40d9bb
55,1K,3:4,Landscape,2.0,960,720,960,720,true,1920,1440,1920,1440,true,b8317364-349c-4a78-9e32-693d08b264fa
56,1K,3:4,Portrait,1.0,1440,1920,1440,1920,true,1440,1920,1440,1920,true,dd8e2e37-4637-415c-8a2e-2cc8d4d0478f
57,1K,3:4,Portrait,1.1,1312,1752,1312,1752,true,1443,1927,1443,1927,true,702f8b7c-07b7-4730-952f-87697f1fb7aa
58,1K,3:4,Portrait,1.2,1200,1600,1200,1600,true,1440,1920,1440,1920,true,ae4b4a18-a754-4236-a0bb-d44b2f42010f
59,1K,3:4,Portrait,1.3,1112,1480,1112,1480,true,1446,1924,1446,1924,true,ef9deca4-6650-4688-b7f6-6a79735bce9a
60,1K,3:4,Portrait,1.4,1032,1376,1032,1376,true,1445,1926,1445,1926,true,818667c8-f5fa-45b8-bec7-ef11d5868603
61,1K,3:4,Portrait,1.5,960,1280,960,1280,true,1440,1920,1440,1920,true,ab9f417b-3ff9-47b9-82b0-416523c8b5b7
62,1K,3:4,Portrait,1.6,904,1200,904,1200,true,1446,1920,1446,1920,true,c23c690e-6af2-447d-969c-352260fc6b6e
63,1K,3:4,Portrait,1.7,848,1136,848,1136,true,1442,1931,1442,1931,true,8ca5bad6-6fb0-432d-8d13-5b4011301c9c
